iso3,country,year,growth_annual,wdi_gdp_growth_annual_pct,maddison_growth_annual,wdi_growth_decimal,abs_diff_maddison,abs_diff_wdi
DZA,Algeria,1962,-0.459465124856278,-19.6850418256566,-0.22768663094361052,-0.19685041825656602,0.23177849391266747,0.262614706599712
IRQ,Iraq,1996,0.3711342241992277,11.0207856442117,0.15748177405145292,0.11020785644211699,0.2136524501477748,0.2609263677571107
GNQ,Equatorial Guinea,1992,0.08784833229942102,34.7453200290652,0.10275796554727545,0.34745320029065196,0.014909633247854437,0.25960486799123095
MAC,"China, Macao SAR",2020,-0.801725942097713,-54.4020925789353,,-0.544020925789353,,0.25770501630835996
IRQ,Iraq,1995,-0.23574369898569358,2.12002149763362,-0.054384919772402895,0.0212002149763362,0.1813587792132907,0.25694391396202976
HND,Honduras,1991,0.0036357975201291026,26.0469005554795,0.011128392842087997,0.260469005554795,0.007492595321958895,0.2568332080346659
BOL,Bolivia (Plurinational State of),1968,-0.1699874046068075,8.52944308831106,0.05808184052866672,0.0852944308831106,0.22806924513547422,0.2552818354899181
SRB,Serbia,1999,0.14229614806280644,-10.3255055897713,-0.17698452832549982,-0.103255055897713,0.31928067638830626,0.24555120396051944
HND,Honduras,1990,-0.027265197584158685,21.1713674322465,-0.028311632825890776,0.21171367432246502,0.001046435241732091,0.2389788719066237
HND,Honduras,1995,0.011645715213646213,24.6744628782887,0.018455419167109355,0.246744628782887,0.006809703953463142,0.23509891356924079
KWT,Kuwait,1990,-0.02949524234239398,-26.2288925207873,-0.2636957543963696,-0.262288925207873,0.23420051205397563,0.23279368286547902
QAT,Qatar,2007,-0.05160681262958633,17.9852165615129,0.0829238664814671,0.179852165615129,0.13453067911105343,0.23145897824471534
TCA,Turks and Caicos Islands,2021,0.06728766142921927,29.6293781722414,,0.296293781722414,,0.22900612029319473
GNQ,Equatorial Guinea,2004,0.15593978066548608,37.9987268556423,0.19238084169939107,0.37998726855642306,0.03644106103390499,0.22404748789093698
SYC,Seychelles,1967,0.2289717836268963,0.504739465799275,-0.02233043903849463,0.00504739465799275,0.25130222266539093,0.22392438896890354
HND,Honduras,1996,0.0069323438713695396,22.957391093437,0.014572993441793969,0.22957391093437,0.007640649570424429,0.22264156706300045
IRQ,Iraq,1981,-0.22820987207477827,-0.728727509463553,-0.23514344789083275,-0.0072872750946355305,0.006933575816054471,0.22092259698014274
TGO,Togo,1980,-0.07450907049780486,14.5769561096296,-0.07710239388214024,0.14576956109629602,0.0025933233843353776,0.22027863159410088
